Country;Possession (%);Tirs cadrés;Arrêts (%);Cards;Fautes;Centres;Interceptions;Goals
Côte d'Ivoire;68;14;42;2;21;35;7;0
Guinée Équatoriale;32;70;100;3;22;2;5;4
