Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Shot Stopping;Shot Stopping;Shot Stopping;Shot Stopping
Player;Age;Min;SoTA;GA;Saves;Save%
Yahia Fofana;23-154;90;7;4;3;42.9
