Country;Possession (%);Tirs cadrés;Arrêts (%);Cards;Fautes;Centres;Interceptions;Goals
Côte d'Ivoire;61;40;100;2;10;11;6;2
Guinea-Bissau;39;30;50;1;11;8;9;0
