Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Shot Stopping;Shot Stopping;Shot Stopping;Shot Stopping
Player;Age;Min;SoTA;GA;Saves;Save%
Ouparine Djoco;25-266;90;4;2;2;50.0
