Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Jean-Philippe Krasso;11.0;FW;26-180;61;1;0;0;0;4;1;0;0;0;3;1;0;0;0;0;;
Karim Konaté;10.0;FW;19-298;29;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;;
Jonathan Bamba;9.0;FW;27-293;60;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
Nicolas Pépé;19.0;FW,MF;28-229;30;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;;
Jeremie Boga;13.0;FW;27-010;90;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;;
Seko Fofana;6.0;CM;28-251;90;1;0;0;0;2;2;0;0;0;0;0;1;0;1;0;;
Franck Kessié;8.0;CM;27-025;90;0;1;0;0;1;1;0;0;2;0;0;0;1;2;0;;
Ibrahim Sangaré;18.0;DM;26-042;89;0;0;0;0;0;0;1;0;3;1;0;0;1;0;0;;
Idrissa Doumbia;25.0;MF;25-274;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Ghislain Konan;3.0;LB;28-017;90;0;0;0;0;0;0;0;0;1;2;0;3;2;0;0;;
Obite N'Dicka;21.0;CB;24-146;90;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;;
Ousmane Diomande;2.0;CB;20-040;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Willy Boly;12.0;DF;32-344;14;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
Wilfried Singo;5.0;RB;23-019;45;0;0;0;0;1;0;0;0;0;2;0;1;2;2;0;;
Serge Aurier;17.0;DF,MF;31-020;45;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
Yahia Fofana;1.0;GK;23-145;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16 Players;;;;990;2;1;0;0;10;4;2;0;10;11;2;11;8;6;0;;
