Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Unnamed: 3_level_0;Unnamed: 4_level_0;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Performance
Player;#;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Fls;Fld;Off;Crs;TklW;Int;OG;PKwon;PKcon
Victor Osimhen;9.0;FW;25-020;87;0;0;0;0;3;0;0;0;6;2;0;1;0;0;0;;
Paul Onuachu;19.0;FW;29-235;3;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;;
Ademola Lookman;18.0;FW;26-090;78;0;0;0;0;1;0;0;0;3;4;0;4;0;0;0;;
Bright Osayi-Samuel;12.0;DF,FW;26-018;12;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;;
Samuel Chukwueze;11.0;FW;24-241;71;0;0;0;0;1;0;0;0;2;1;1;1;0;0;0;;
Moses Simon;15.0;FW,MF;28-190;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Zaidu Sanusi;3.0;LM;26-219;79;0;0;0;0;1;0;0;0;2;3;0;7;1;0;0;;
Kenneth Omeruo;22.0;DF;30-093;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Alex Iwobi;17.0;CM;27-260;90;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;
Frank Onyeka;8.0;CM;26-017;90;0;0;0;0;2;0;0;0;1;1;0;0;0;2;0;;
Ola Aina;2.0;RM;27-102;90;0;0;0;0;0;0;0;0;1;0;0;1;3;1;0;;
Calvin Bassey;21.0;CB;24-018;90;0;0;0;0;1;0;0;0;0;0;0;0;4;1;0;;
William Troost-Ekong;5.0;CB;30-139;90;1;0;1;1;1;1;0;0;0;0;0;0;2;2;0;;
Semi Ajayi;6.0;CB;30-070;90;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
Stanley Nwabili;23.0;GK;27-222;90;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
15 Players;;;;990;1;0;1;1;11;1;1;0;20;14;1;14;10;8;0;;
