Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Shot Stopping;Shot Stopping;Shot Stopping;Shot Stopping
Player;Age;Min;SoTA;GA;Saves;Save%
Yahia Fofana;23-150;90;0;1;0;
