Unnamed: 0_level_0;Unnamed: 1_level_0;Unnamed: 2_level_0;Shot Stopping;Shot Stopping;Shot Stopping;Shot Stopping
Player;Age;Min;SoTA;GA;Saves;Save%
Djigui Diarra;28-341;120;3;2;1;33.3
